campeão;região;título;função;frase;história
Kayn;Ionia;O ceifador das sombras;Assassino;"A criança se foi, mas o assassino vive.";Shieda Kayn, um solitário praticante de magia negra, luta para alcançar o seu verdadeiro destino: levar um dia a Ordem das Sombras a uma nova era de supremacia ioniana. Ele empunha audaciosamente Rhaast, uma arma darkin senciente, impassível diante da corrupção gradual de seu corpo e mente. Há apenas dois resultados possíveis: ou Kayn molda a arma ao seu desejo... ou a maligna espada o consome por inteiro, abrindo caminho para a aniquilação total de Runeterra.
Kennen;Ionia;O coração da tempestade;Mago;''O Coração da Tempestade bate eternamente.'';Mais do que um protetor rápido como um raio do equilíbrio ioniano, Kennen é o único yordle membro da Kinkou. Apesar da sua estatura pequena e peluda, ele anseia por ir contra qualquer ameaça com uma tempestade desenfreada de shurikens e entusiasmo sem limites. Ao lado de seu mestre, Shen, Kennen patrulha o reino dos espíritos, utilizando energia elétrica devastadora para abater seus inimigos.
Kha'Zix;Vazio;O ceifador do Vazio;Assassino;''Matar. Consumir. Adaptar-se.'';O Vazio cresce e o Vazio se adapta, e nenhuma de suas outras criaturas incorpora isso tão bem quanto Kha’Zix. A evolução é o que impulsiona a essência desse horror mutável, nascido para sobreviver e destruir os mais fortes. Qualquer momento de dificuldades em fazê-lo só o faz criar modos novos e mais efetivos de neutralizar e matar sua presa. Inicialmente uma fera irracional, a inteligência de Kha’Zix se desenvolveu tanto quanto sua forma. Agora, a criatura planeja suas caças e até faz uso do horror visceral que causa em suas vítimas.
Kindred;Runeterra;Os caçadores eternos;Atirador;"Diga-me de novo, Ovelhinha, que coisas posso tomar?"''Tudo o que existir, caro Lobo.'';Distintos, mas nunca separados, os Kindred representam as essências gêmeas da morte. O arco da Ovelha propicia uma rápida transição do mundo mortal para aqueles que aceitam seu destino. O Lobo caça aqueles que fogem de seu fim, entregando-lhes a violência derradeira de suas presas esmagadoras. Embora diferentes interpretações sobre a natureza dos Kindred circulem por toda Runeterra, todo mortal deve escolher a verdadeira face de sua morte.
Kled;Noxus;O cavaleiro intratável;Lutador;"Um homem normal correria... mas eu não sou de correr!";Um guerreiro tão destemido quanto irascível, o yordle Kled representa a bravata furiosa de Noxus. Ele é um ícone amado pelos soldados do império, rejeitado por seus oficiais e abominado pela nobreza. Muitos dizem que Kled lutou em cada batalha que as legiões travaram, que ''adquiriu'' cada título militar e que nunca recuou de uma luta. Embora a veracidade dos detalhes seja normalmente questionável, uma parte de sua lenda é inegável: avançando em combate com Skaarl, sua montaria (des)confiável, Kled luta para proteger o que é dele... e para tornar seu o que conseguir.
Kog'Maw;Vazio;A boca do abismo;Atirador;"A fome nunca dorme.";Vomitado para fora de uma aparição podre do Vazio nas profundezas das terras desertas de Icathia, Kog’Maw é uma criatura inquisitiva e pútrida com uma boca cáustica gigantesca. Essa criatura do Vazio em particular precisa morder e babar em qualquer coisa que alcançar para realmente compreendê-la. Apesar de não ser intrinsecamente mau, a ingenuidade cativante de Kog’Maw é perigosa, pois é precedida, em geral, de um frenesi alimentício, não para alimentá-lo, mas para satisfazer sua curiosidade sem fim.
LeBlanc;Noxus;A farsante;Assassino;“Uma rosa não pode crescer na escuridão. Ela morre, e então é a escuridão que cresce…”;Misteriosa mesmo para os outros membros da Rosa Negra, LeBlanc é somente um dos muitos nomes de uma mulher pálida que tem manipulado pessoas e eventos desde os primeiros dias de Noxus. Usando sua magia para espelhar a si mesma, a feiticeira pode aparecer para qualquer um, em qualquer lugar e mesmo em vários lugares ao mesmo tempo. Sempre planejando às escondidas, as verdadeiras motivações de LeBlanc são tão inescrutáveis quanto sua identidade inconstante.
Lee Sin;Ionia;O monge cego;Lutador;“Iluminação é saber o valor da própria ignorância.”;Um mestre das artes marciais ancestrais de Ionia, Lee Sin é um lutador de princípios fortes que canaliza a essência do espírito do dragão para enfrentar qualquer desafio. Apesar de ter perdido a visão há muitos anos, o monge guerreiro dedicou sua vida a proteger sua terra natal contra quem ousasse interferir em seu sagrado equilíbrio. Os inimigos que subestimam seu comportamento meditativo são confrontados por seus punhos ardentes e chutes mirabolantes.
Leona;Monte Targon;A alvorada radiante;Tanque;"Se quiser brilhar igual a um sol, antes precisa queimar igual a ele.";Impregnada pelas chamas do sol, Leona é uma guerreira sagrada de Solari que defende o Monte Targon com sua Lâmina Zênite e a Proteção da Aurora. Sua pele brilha com fogo solar enquanto seus olhos queimam com o poder do Aspecto celestial que nela existe. Protegida em uma armadura dourada e carregando o terrível fardo de um conhecimento ancestral, Leona traz luz a alguns e morte a outros.
Lissandra;Freljord;A bruxa gélida;Mago;''Feche os olhos e deixe o frio lhe levar.'';A magia de Lissandra transforma o poder bruto do gelo em algo sombrio e terrível. Com a força do seu gelo sombrio, ela faz mais do que congelar — ela perfura e destrói todos que se opões a ela. Entre os aterrorizados habitantes do norte, ela é conhecida como a ''Bruxa Gélida''. Mas a verdade é muito mais sinistra: Lissandra é uma corruptora da natureza que conspira para instalar uma era do gelo no mundo.
Lucian;Demacia;O purificador;Atirador;''Tenha gratidão. Matar-lhe agora lhe poupará de uma eternidade em tormento.'';Outrora um Vigia da Luz, Lucian é um caçador implacável de espíritos imortais, perseguindo-os incansavelmente e aniquilando-os com suas duas pistolas relíquias. Consumido por sua ânsia de vingar sua esposa morta, ele não descansará até que Thresh, o espectro que detém sua alma, seja destruído. Impiedoso e obcecado, Lucian não permite que qualquer coisa obstrua o caminho dessa vingança; qualquer um que seja tolo o suficiente de tentar impedi-lo será atingido por um bombardeamento de tiros mágicos.
Lulu;Bandópolis;A fada feiticeira;Suporte;''O melhor caminho entre dois pontos é de cabeça para baixo, entre eles, depois de dentro pra fora e dando mais uma volta.'';A maga yordle Lulu é conhecida por conjurar ilusões de sonhos e criaturas fantasiosas enquanto vaga por Runeterra com sua fada companheira, Pix. Lulu transforma a realidade por capricho, distorcendo a realidade e o que ela vê como restrições desse banal reino físico. Apesar de alguns considerarem sua magia no mínimo anormal, e no máximo perigosa, ela acredita que todos merecem um toque de encanto.
Lux;Demacia;A dama da luz;Mago;"A minha luz interior é o que me torna diferente, e sempre cuido com o lugar que escolho iluminar.";Luxanna Crownguard nasceu em Demacia, um reino insular onde habilidades mágicas são vistas com medo e desconfiança. Capaz de dobrar a luz à sua vontade, ela cresceu temendo ser descoberta e exilada, e foi forçada a manter seus poderes em segredo a fim de preservar o status de nobreza de sua família. Apesar de tudo, o otimismo e resiliência de Lux a levaram a aceitar seus talentos únicos e agora ela os utiliza em segredo a serviço de sua terra natal.
Malphite;Runeterra;O fragmento do monolito;Tanque;Cuidado, servos do mal! O Fragmento do Monolito está aqui.";Uma criatura gigantesca de pedra viva, Malphite pena para impor ordem abençoada em um mundo caótico. Nascido como um fragmento servil de um obelisco de outro mundo conhecido como Monolito, ele usou sua tremenda força elemental para manter e proteger seu progenitor, mas, no fim, falhou. O único sobrevivente da destruição que se seguiu, Malphite agora suporta o povo macio de Runeterra com seus temperamentos inconstantes enquanto luta para encontrar um novo papel digno do último de sua espécie.
Malzahar;Vazio;O profeta do Vazio;Mago;"Nós somos eternos. E exigimos sacrifícios.";Fervoroso vidente dedicado a unificar toda a vida, Malzahar acredita piamente que o recém-emergente Vazio é o caminho para a salvação de Runeterra. Nas terras remotas de Shurima, ele seguiu as vozes que sussurravam em sua mente, até chegar à antiga Icathia. Entre as ruínas daquela terra, ele olhou para o coração sombrio do Vazio e recebeu novos poderes e um propósito. Agora Malzahar vê a si mesmo como um pastor, capaz de trazer os outros para o rebanho… ou de libertar as criaturas do Vazio que vivem nas profundezas.
Maokai;Ilha das Sombras;O ente sinistro;Tanque;'Várias cascas vazias ao meu redor, sem alma ou medo... mas trarei o medo a eles.';Maokai é um grande ente enfurecido que luta contra os terrores sobrenaturais da Ilha das Sombras. Ele se transformou em uma força vingativa depois que um cataclisma mágico destruiu seu lar, sobrevivendo apenas através das Águas da Vida que estão infusas em seu cerne. Outrora um espírito pacífico da natureza, Maokai agora batalha furiosamente para banir os flagelos da não-vida da Ilha das Sombras e restaurar a antiga beleza do seu lar.
Master Yi;Ionia;O espadachim wuju;Assassino;''O gume da espada mais afiada não é páreo para a calmaria de uma mente em paz.'';Master Yi treinou seu corpo e afiou sua mente para que pensamento e ação se tornassem um só. Apesar de escolher a violência como último recurso, a graça e velocidade de sua lâmina garantem que a resolução seja sempre eficaz. Como um dos últimos praticantes da arte ioniana do wuju, Yi devotou sua vida a continuar o legado de seu povo, examinando potenciais novos discípulos com as Sete Lentes da Perspicácia para identificar o mais digno dentre eles.
Miss Fortune;Águas de Sentina;A caçadora de recompensas;Atirador;"Quanto maior o risco, maior a recompensa.";Uma capitã de Águas de Sentina famosa por sua aparência e impiedade, Sarah Fortune chama atenção entre os criminosos calejados da cidade portuária. Ainda criança, ela viu o Rei dos Ladrões, Gangplank, assassinar sua família, um crime do qual ela se vingou com violência anos depois, explodindo seu navio com ele ainda a bordo. Aqueles que a subestimarem enfrentarão uma oponente sedutora e imprevisível... E, possivelmente, uma bala ou duas nas entranhas.
Mordekaiser;Ilhas das Sombras;O revenã do ferro;Lutador;'Tudo o que existe deve morrer... E, contudo, eu continuo vivo.';Mordekaiser, o pernicioso revenã, está entre os mais terríveis e odiosos espíritos que assombram a Ilha das Sombras. Ele existe há incontáveis séculos, protegido contra a verdadeira morte através de feitiçaria necromante e da força de sua própria vontade sombria. Aqueles que ousam encarar Mordekaiser em combate arriscam receber uma terrível maldição: ele escraviza as almas de suas vítimas para torná-las instrumentos de destruição.
Morgana;Runeterra;O anjo caído;Mago;''Não haverá descanso enquanto a tirania de Kayle continuar a existir.'';Movida por uma obsessão vingativa, Morgana é uma mestra do sofrimento e das artes sombrias. Ela já foi uma criatura de graça e luz, mas foi arrancada de seu povo durante um conflito ancestral que corrompeu sua alma, transformando-a na algoz cruel que é hoje. Reconfortada por uma profecia que diz que ela ainda terá seu último golpe e vingança, Morgana está à espera, enquanto sua ânsia por poder cresce cada vez mais.
Nami;Runeterra;A conjuradora das marés;Suporte;"Eu decido o que a maré vai trazer.";Uma jovem e obstinada vastaya dos mares, Nami é uma das primeiras integrantes da tribo Marai a sair das ondas e se aventurar na terra seca, onde seus antigos acordos com os targonianos foram quebrados. Com nenhuma outra opção, ela decidiu que seria ela mesma quem completaria o ritual sagrado que garantiria a segurança de seu povo. Dentro do caos dessa nova era, Nami enfrenta um futuro incerto com coragem e determinação, usando seu Conjurador das Marés para invocar a própria força dos oceanos.
Nasus;Shurima;O curador das areias;Lutador;''O que aqui jaz um dia será grandioso novamente.“;Nasus é um majestoso Ascendente com cabeça de chacal da antiga Shurima; uma figura heróica considerada semi-deus pelo povo do deserto. Ferozmente inteligente, ele foi um guardião do conhecimento e estrategista sem igual cuja sabedoria guiou o antigo império de Shurima em direção à grandeza por muitos séculos. Após a queda do império, ele colocou a si mesmo em exílio, tornando-se mais que uma lenda. Agora que a antiga cidade de Shurima ressurgiu, ele retornou, determinado a assegurar que ela nunca mais caia.
Nautilus;Águas de Sentina;O titã das profundezas;Tanque;''Quando se é consumido pelas trevas, não há nada a fazer além de seguir em frente.'';Uma lenda solitária tão velha quanto as primeiras docas que afundaram em Águas de Sentina, o golias de armadura conhecido como Nautlius vaga pelas águas escuras da costa das Ilhas da Chama Azul. Levado por uma traição esquecida, ele ataca sem aviso, balançando sua enorme âncora para salvar os náufragos e arrastar os gananciosos para sua perdição. Dizem que ele surge para aqueles que se esquecem de pagar o “dízimo de Águas de Sentina”, puxando-os para abaixo das ondas junto com ele: um lembrete envolto em ferro de que ninguém pode escapar das profundezas.
Nidalee;Runeterra;A caçadora Bestial;Assassino;"Os indomados não sabem o que é medo.";Criada na mais profunda das selvas, Nidalee é uma rastreadora especialista que pode se transformar em um puma à sua vontade. Nem animal nem mulher, ela defende com ferocidade seu território de todo e qualquer invasor, com armadilhas cuidadosamente colocadas e lanças arremessadas. Ela fere sua presa antes de pular nela em sua forma felina, e dizem os sortudos que sobrevivem que ela é uma mulher selvagem com instintos aguçados e garras ainda mais afiadas...
Nocturne;Runeterra;O eterno pesadelo;Assassino;''A escuridão está se aproximando... Está tudo escuro agora, mas ainda posso vê-lo...'';Uma fusão demoníaca provinda dos pesadelos que assombram todas as mentes sencientes, a coisa conhecida como Nocturne se tornou uma força primordial de puro terror. De aspecto caótico e líquido, ele é uma sombra sem rosto com olhos frios e armada com lâminas enfurecidas. Depois de se libertar do mundo dos espíritos, Nocturne desceu para o mundo dos vivos para se alimentar de um terror que só pode ser cultivado na verdadeira escuridão.
Nunu;Freljord;O domador de yetis;Suporte;''Willump e eu temos o mundo inteiro para explorar. Não fique no nosso caminho!'';Brincando pelas colinas de Freljord, Nunu e Willump são uma dupla incomum, mas muitos viajantes juram que já viram um yeti carregando um menino destemido em suas costas. Mesmo que Nunu tenha domado o coração da fera, a cólera de Willump permanece, alimentada por uma fome sem fim. Alguns até tentaram separá-los, mas a amizade dos dois é mais forte do que qualquer corrente e eles continuam a viajar em suas aventuras alucinantes.
Olaf;Freljord;O berserker;Lutador;''Quando for conhecer seus ancestrais, diga a eles que foi Olaf quem te mandou.'';Uma força desenfreada de destruição, Olaf e seus machados não querem nada além de morrer em um combate glorioso. Vindo da brutal península de Freljord, Lokfar, ele recebeu uma profecia que dizia que ele teria uma morte pacífica: o destino de um covarde e um grande insulto entre seu povo. Procurando pela morte e movido por sua fúria, ele destruiu tudo em seu caminho, massacrando dezenas de guerreiros e bestas lendárias em busca de um oponente que pudesse pará-lo. Agora, um executor brutal da Garra do Inverno, ele busca seu fim nas grandes guerras que estão por vir.
Orianna;Piltover;A donzela mecânica;Mago;“Quando uma mariposa emerge de seu casulo, ela lembra de sua vida como lagarta?”;Orianna já foi uma menina curiosa de carne e osso, mas agora é uma maravilha tecnológica composta inteiramente de engrenagens. Ela ficou terrivelmente doente depois de um acidente em um dos distritos inferiores de Zaun e seu corpo enfraquecido teve que ser substituído por mecanismos requintados, peça por peça. Acompanhada por uma esfera de cobre extraordinária que ela construiu para companhia e proteção, Orianna agora é livre para explorar as maravilhas de Piltover e além.
Ornn;Freljord;O fogo sob a montanha;Tanque;"Eu já disse o bastante.";Ornn é o espírito freljordiano da forja e da artesania. Ele trabalha na solidão de uma enorme fornalha, construída a marteladas por entre as cavernas de lava do vulcão Pedra-Lar. Lá, ele aquece caldeirões de pedra fundida para purificar metais e forjar itens de qualidade insuperável. Quando outras divindades — principalmente Volibear — descem à Terra para intervir nos assuntos dos mortais, Ornn aparece para colocar esses seres impetuosos em seu devido lugar, seja com seu fiel martelo ou com o poder ardente das próprias montanhas.
Pantheon;Monte Targon;O artesão da guerra;Lutador;“Que venha um verdadeiro campeão, ou uma centena mais como você, e teremos uma batalha que será contada até o fim dos tempos.”;O incomparável guerreiro conhecido como Pantheon é um modelo de batalha quase imparável. Ele nasceu entre os Rakkor, um povo guerreiro que vive nos flancos do Monte Targon, e após escalar o pico traiçoeiro da montanha e de ser considerado digno, ele foi escolhido para se tornar uma encarnação do celestial Aspecto da Guerra. Munido de um poder desumano, ele persegue implacavelmente os inimigos de Targon, deixando apenas cadáveres em seu caminho.
Poppy;Demacia;Guardiã do martelo;Tanque;"Não sou uma heroína. Só uma yordle com um martelo.";Runeterra não está em falta de campeões valentes, mas poucos são tão tenazes quanto Poppy. Carregando o lendário martelo de Orlon, uma arma que tem o dobro de seu tamanho, essa yordle determinada tem passado muitos anos procurando em segredo pelo lendário “Herói de Demacia”, dono legítimo do martelo. Até lá, ela cumpre seu dever entrando em batalhas e forçando os inimigos do reino a recuarem com cada giro de seu martelo.
Pyke;Águas de Sentina;O estripador das águas sangrentas;Suporte;"Tem espaço suficiente para todos no fundo do mar...";Arpoador renomado e forjado nas Docas da Matança de Águas de Sentina, Pyke deveria ter encontrado a morte na barriga de um peixe-jaula gigante... mas não foi bem assim, e ele acabou voltando. Agora, vagando pelos becos úmidos de sua cidade natal, ele usa seus novos dons sobrenaturais para trazer um rápido e grotesco fim para aqueles que fazem fortuna explorando os outros — e agora os mesmos habitantes, que um dia se orgulharam de caçar monstros, passaram a ser caçados por um.
Quinn;Demacia;As asas de demacia;Atirador;"A maioria dos soldados só depende de suas armas. Poucos dependem um do outro de verdade.";Quinn é uma cavaleira patrulheira de elite de Demacia que cumpre missões perigosas no coração do território inimigo. Ela e sua águia lendária, Valor, possuem um vínculo inquebrável e seus inimigos muitas vezes são mortos antes de notarem que não estão lutando contra um, mas dois dos maiores heróis do reino. Ágil e acrobática quando necessário, Quinn mira com sua balestra, enquanto Valor, do alto, marca seus alvos esquivos, fazendo deles uma dupla letal no campo de batalha.
Rakan;Ionia;O encantador;Suporte;"Eu tenho liberdade. Eu tenho uma parceira. Eu tenho uma causa pela qual morrer.";Inconsistente e charmoso, Rakan é um conhecido encrenqueiro vastaya e o melhor dançarino de batalha da história da tribo Lhotlan. Para os humanos das montanhas de Ionia, seu nome sempre foi sinônimo de festivais mirabolantes, festas agitadas e música subversiva. Poucos suspeitariam que este artista itinerante e energético é parceiro da rebelde Xayah e totalmente dedicado à causa dela.
Rammus;Shurima;O tatu blindado;Tanque;''OK.'';Idolatrado por muitos, dispensado por alguns e misterioso para todos, Rammus é um ser curioso e enigmático. Protegido por um casco espetado, ele inspira teorias cada vez mais divergentes sobre sua origem por onde quer que passe — de semideus, a oráculo sagrado, a uma fera qualquer que foi transformada por magia. Qualquer que seja a verdade, Rammus mantém seus pareceres e não interrompe seu caminho para ninguém enquanto vaga sem rumo pelo deserto shurimane.
Rek'Sai;Vazio;A escavadora do Vazio;Lutador;"Não tema uma emboscada das colinas, ou uma besta alada vinda dos céus. O verdadeiro terror de Shurima vem das areias e não dá sinais de sua presença."~ Sivir;A predadora perfeita, Rek’Sai é uma criatura do Vazio sem piedade que anda por túneis no subsolo para emboscar e devorar vítimas desavisadas. Sua fome insaciável já destruiu regiões inteiras do outrora gigantesco império de Shurima. Mercadores, vendedores, até mesmo caravanas blindadas, preferem fazer longos desvios para evitarem a ela e seus filhotes no seu território de caça. Todos sabem que, se Rek’Sai for avistada no horizonte, a morte certamente virá do subsolo.
Renekton;Shurima;O carniceiro das areias;Lutador;''Sangue e vingança.'';Renekton é um aterrorizante e furioso ser Ascendente dos desertos escaldantes de Shurima. Ele já foi o guerreiro mais estimado de todo o seu império, levando os exércitos da nação a inúmeras vitórias. No entanto, após a queda do império, Renekton foi enterrado nas areias e, lentamente, enquanto o mundo girava e mudava, ele sucumbia à loucura. Novamente liberto, ele é consumido pelo desejo de encontrar e matar seu irmão Nasus, a quem culpa pelos séculos que passou na escuridão graças à própria loucura.
Rengar;Runeterra;O acossador da alcateia;Assassino;"Cace os fracos e você sobreviverá. Cace os fortes e você terá uma vida.";Rengar é um feroz caçador de troféus vastaya que gosta da emoção proporcionada pela caça e pelo abate de criaturas perigosas. Ele vasculha o mundo em busca das feras mais perigosas que pode encontrar, procurando principalmente por Kha’Zix, a criatura do vazio que arrancou seu olho. Rengar não persegue suas presas por fome nem por glória, mas pela simples beleza da caçada.
Riven;Noxus;A exilada;Lutador;“A espada de um guerreiro reflete a verdade em seu coração. A minha é sombria... e partida ao meio.”;Outrora uma mestra das espadas nos esquadrões de Noxus, Riven agora é uma expatriada na terra que uma dia já tentou conquistar. Ela subiu nas posições do exército usando a força de sua convicção e eficiência brutal, e foi recompensada com uma lâmina rúnica lendária e seu próprio bando guerreiro. No entanto, no fronte ioniano, a fé de Riven em sua terra natal foi testada e, no fim, quebrada. Após cortar todos os laços com o império, ela agora busca seu lugar em um mundo devastado, mesmo ouvindo rumores de que a própria Noxus estava sendo reforjada...
Rumble;Bandópolis;A ameaça Mecânica;Lutador;''Aff, vai demorar um tempão para limpar os restos do seu rosto da minha armadura!'';Rumble é um jovem inventor irritadiço. Usando nada além de suas próprias mãos e uma pilha de sucata, o yordle briguento construiu um mecha colossal montado com um arsenal de arpões eletrificados e foguetes incendiários. Apesar de outros rirem de suas criações de ferro-velho, Rumble não se importa. Afinal, é ele que tem um cospe-fogo.
Ryze;Runeterra;O mago rúnico;Mago;"Tenham cuidado com esse mundo. O que está feito pode ser desfeito.";Considerado pela grande maioria como o mago mais habilidoso de Runeterra, Ryze é um arquimago ancião e amargo que carrega um enorme peso. Dotado de um enorme poder arcano e de uma notável estrutura física, ele busca incansavelmente pelas Runas Globais, que são fragmentos de magia pura que um dia criaram o mundo a partir do nada. Ele deve recuperar esses artefatos antes que eles caiam em mãos erradas, pois Ryze conhece bem os horrores que eles podem infligir em Runeterra.
Sejuani;Freljord;A ira do inverno;Tanque;'Eu fui esculpida do gelo, moldada pelas tempestades e enrijecida pelo frio.'';Sejuani é a mãe guerreira Glacinata brutal e implacável da Garra do Inverno, uma das tribos mais temidas de Freljord. A sobrevivência de seu povo é uma batalha constante e desesperada contra os elementos, forçando-os a pilhar noxianos, demacianos e avarosianos para sobreviver aos invernos severos. A própria Sejuani lidera os ataques mais perigosos, montada no seu javali drüvask, Bristle, usando seu mangual de Gelo Verdadeiro para congelar e despedaçar seus inimigos.
Shaco;Runeterra;O bufão demoníaco;Assassino;"Que tão um truque de mágica.";Criado anos atrás como um brinquedo para um príncipe solitário, Shaco, a marionete encantada, agora se deleita com assassinatos e desordem. Corrompido por magia negra e pela perda de seu dono querido, o boneco que já fora gentil agora encontra prazer somente na miséria das próprias almas que ele atormenta. Ele usa brinquedos e truques simples para conseguir efeitos mortais, achando os resultados de seus “jogos” sangrentos hilários. E para aqueles que escutam uma risada sombria na calada da noite, o Bufão Demoníaco pode tê-los marcado como seu próximo brinquedo.
Shen;Ionia;O olho do crepúsculo;Tanque;"O olho não vê o medo, o ódio, o amor – e todas as coisas que perturbariam o equilíbrio.";Para os guerreiros ionianos sigilosos conhecidos como Kinkou, Shen, o Olho do Crepúsculo, é um líder. Ele busca permanecer livre da confusão das emoções, preconceito ou ego, caminhando pelo caminho nunca visto do julgamento imparcial entre o reino dos espíritos e o mundo físico. Incumbido de impor harmonia entre os dois, Shen empunha lâminas de aço e energia arcana contra qualquer um que ameaçar o equilíbrio.
Shyvana;Demacia;A meio-dragão;Lutador;"Sou de dois mundos, mas não pertenço a nenhum.";Shyvana é uma criatura com a mágica de um fragmento de runa queimando em seu coração. Apesar de normalmente parecer humanoide, ela pode mudar para sua forma verdadeira de um temível dragão, incinerando seus inimigos com seu sopro de chamas. Depois de salvar a vida do príncipe herdeiro, Jarvan IV, Shyvana agora serve, mesmo que desconfortavelmente, na sua guarda real, lutando para encontrar aceitação entre o povo receoso de Demacia.
Singed;Zaun;O químico louco;"Você ainda não pode morrer, eu ainda tenho muito a aprender sobre sua anatomia frágil.";Singed é um alquimista zaunita de intelecto inigualável, que devotou sua vida a ultrapassar os limites do conhecimento; e nenhum preço, nem sua própria sanidade, é alto demais. Existe cura para sua loucura? Suas misturas raramente falham, mas, para muitos, Singed perdeu qualquer noção da humanidade, deixando uma trilha tóxica de miséria e terror no seu caminho.
Sion;Noxus;O colosso morto-vivo;Tanque;"A guerra é eterna... Assim como eu.";Um herói de guerra de uma era passada, Sion era reverenciado em Noxus por ter estrangulado a vida de um rei demaciano com suas próprias mãos. Mas o esquecimento lhe foi negado quando foi ressuscitado para servir seu império, mesmo na sua morte. Seu massacre indiscriminado levou qualquer um que estivesse em seu caminho, sem importar sua lealdade, provando que ele não possui mais nada de sua antiga humanidade. Mesmo assim, com armadura bruta pregada em carne apodrecida, Sion continua a investir na batalha em total abandono, lutando para se lembrar do seu verdadeiro ser entre cada ataque de seu machado.
Sivir;Shurima;A mestra da batalha;Atirador;'Não me importa o rosto que está em sua moeda, contanto que pague.';Sivir é uma renomada caçadora de recompensas e capitã mercenária que manipula o comércio nos desertos de Shurima. Armada com sua lendária lâmina em cruz adornada, ela lutou e venceu incontáveis batalhas por aqueles que podem pagar seu preço exorbitante. Conhecida por sua resolução audaz e ambição sem fim, ela se orgulha de recuperar tesouros secretos das perigosas tumbas de Shurima — por um bom preço. Com forças anciãs remexendo os ossos da própria Shurima, Sivir encontra-se dividida entre destinos conflitantes.
Skarner;Shurima;A vanguarda de cristal;Lutador;'Somos um. Não podemos ser estilhaçados.'';Skarner é um imenso escorpião cristalino de um vale escondido de Shurima. Parte da antiga raça dos Brackern, Skarner e seus semelhantes são conhecidos por seu grande conhecimento e profunda conexão com a terra, pois suas almas são infundidas com poderosos cristais vivos que mantêm as memórias de seus ancestrais. Em uma era muito antiga, os Brackern entraram em hibernação para evitar uma destruição mágica imprevista, mas eventos ameaçadores recentes despertaram Skarner. Sendo o único Brackern acordado, ele luta para proteger seus semelhantes daqueles que buscam lhes fazer mal.
Sona;Demacia;A mestra das cordas;Suporte;'Sua melodia move a alma, seu silêncio faz o corpo chorar.''~ Jericho Swain;Sona é um dos maiores prodígios de etwahl de cordas em Demacia, falando somente através de seus acordes graciosos e de suas arias vibrantes. Seu comportamento refinado cativou os nobres, apesar de muitos suspeitarem que suas melodias fascinantes realmente emanem magia, um tabu em Demacia. Silenciosa com desconhecidos, mas compreendida de alguma forma por companheiros próximos, Sona dedilha suas harmonias não somente para aliviar a dor de seus aliados, mas também para derrubar inimigos desavisados.
Soraka;Ionia;A filha das estrelas;Suporte;''A crueldade de um não me cegará para o sofrimento de muitos.'';Uma andarilha vinda de dimensões celestiais além do Monte Targon, Soraka desistiu de sua imortalidade para proteger as raças mortais de seus instintos mais violentos. Ela pretende espalhar as virtudes da compaixão e da misericórdia a todos que encontra, curando até mesmo aqueles que desejam seu mal. E apesar de ter visto todas as dificuldades deste mundo, Soraka ainda acredita que o povo de Runeterra não alcançou todo seu potencial.
Swain;Noxus;O mestre da estratégia;Mago;“Já vivi o bastante para detestar todos os homens. Só as nações são dignas de reverência.”;Jericho Swain é o imperador visionário de Noxus, uma nação expansionista que reverencia exclusivamente a força. Embora tenha sido derrubado e aleijado nas guerras iônicas, e perdido o braço esquerdo, ele tomou o controle do império com uma determinação implacável… e uma mão nova e demoníaca. Agora Swain comanda as tropas a partir da linha de frente, marchando contra uma escuridão iminente que só ele pode ver - em vislumbres coletados pelos corvos negros que se alimentam dos cadáveres à sua volta. Em uma trama conturbada de sacrifícios e traições, o maior segredo de todos é que o verdadeiro inimigo vem de dentro.
Syndra;Ionia;A soberana sombria;Mago;''O poder pertence àqueles que podem governa-lo.'';Syndra é uma temida bruxa sombria com um poder incrível a sua disposição. Quando era apenas um garotinha em Ionia, ela atormentava os idosos da aldeia com seu prodigioso, porém inconsequente, uso da magia. Eles a mandaram para longe para ser treinada por um mentor, mas ela rapidamente o superou e descobriu que ele estava limitando seus poderes. Sentindo-se traída e enojada por tamanha covardia, Syndra eliminou seu professor e partiu, portando esferas negras em mãos, para destruir todos que tentassem limitar seu potencial.
Tahm Kench;Runeterra;O rei do rio;Suporte;''O mundo é um só rio e eu sou seu rei.'';Conhecido por muitos nomes ao longo da história, Tahm Kench viaja pelas águas de Runeterra, preenchendo seu insaciável apetite com o pesar dos outros. Apesar de parecer particularmente encantador e orgulhoso, ele vaga pelo reino físico como um andarilho em busca de presas desavisadas. Sua língua pode atordoar até o guerreiro mais bem blindado a uma grande distância, e cair em sua barriga retumbante é cair em um abismo do qual não há esperança de sair.
Taliyah;Shurima;A tecelã de pedras;Mago;'O mundo é uma tapeçaria de nossa própria criação.';Taliyah é uma maga nômade de Shurima, dividida entre sua empolgação juvenil e suas grandes responsabilidades. Ela cruzou quase toda Valoran em uma jornada para conhecer a verdadeira natureza de seus próprios poderes, apesar de ter retornado recentemente para proteger sua tribo. Há aqueles que já interpretaram sua compaixão como fraqueza e pagaram o preço por isso, pois, debaixo do comportamento juvenil de Taliyah, existe uma determinação forte o suficiente para mover montanhas e um espírito feroz o suficiente para fazer a terra tremer.
